company_id,type,rule_id,text,confidence_pct
ABB,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ABB,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
ABB,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
ABB,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
ABB,con,Revenue CAGR < 5% over 5 years,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66
ADANIENSOL,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
ADANIENSOL,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
ADANIENSOL,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
ADANIENSOL,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ADANIENSOL,con,D/E > 2.0 for non-financial,Debt-to-equity ratio of X is elevated for a non-financial company and warrants monitoring,84
ADANIENSOL,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
ADANIENSOL,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
ADANIENSOL,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
ADANIENT,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
ADANIENT,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
ADANIENT,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
ADANIENT,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
ADANIENT,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
ADANIENT,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
ADANIENT,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
ADANIENT,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
ADANIGREEN,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
ADANIGREEN,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
ADANIGREEN,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
ADANIGREEN,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ADANIGREEN,con,D/E > 2.0 for non-financial,Debt-to-equity ratio of X is elevated for a non-financial company and warrants monitoring,84
ADANIGREEN,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
ADANIGREEN,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
ADANIGREEN,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
ADANIPORTS,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
ADANIPORTS,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
ADANIPORTS,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
ADANIPORTS,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
ADANIPORTS,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
ADANIPOWER,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ADANIPOWER,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
ADANIPOWER,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
ADANIPOWER,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
ADANIPOWER,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ADANIPOWER,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
ADANIPOWER,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
ADANIPOWER,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
ADANIPOWER,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
AMBUJACEM,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
AMBUJACEM,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
AMBUJACEM,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
AMBUJACEM,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
AMBUJACEM,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
AMBUJACEM,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
APOLLOHOSP,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
APOLLOHOSP,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
APOLLOHOSP,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
APOLLOHOSP,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
APOLLOHOSP,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
ASIANPAINT,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ASIANPAINT,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
ASIANPAINT,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
ASIANPAINT,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
ASIANPAINT,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
ASIANPAINT,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
ASIANPAINT,con,Revenue CAGR < 5% over 5 years,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66
AXISBANK,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
AXISBANK,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
AXISBANK,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
